,person_age,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
7122,37.0,35598.0,13,RENT,5500.0,EDUCATION,6.03,15.0,687,Yes,0
7123,36.0,36783.0,15,RENT,5500.0,EDUCATION,8.9,11.0,739,Yes,739
7124,47.0,57577.0,23,MORTGAGE,7500.0,PERSONAL,6.62,12.0,683,Yes,0
7125,40.0,36890.0,19,RENT,5500.0,MEDICAL,14.74,12.0,641,Yes,0
7126,36.0,38135.0,13,RENT,5500.0,PERSONAL,12.53,15.0,572,Yes,0
7127,38.0,57605.0,17,MORTGAGE,11000.0,DEBTCONSOLIDATION,8.9,16.0,600,Yes,0
7128,36.0,41353.0,15,RENT,5500.0,MEDICAL,12.29,17.0,699,Yes,0
7129,43.0,58727.0,23,RENT,5500.0,MEDICAL,12.61,17.0,756,No,756
7130,39.0,61079.0,17,RENT,5500.0,PERSONAL,6.54,13.0,580,Yes,0
7131,41.0,57471.0,16,MORTGAGE,7500.0,EDUCATION,11.12,13.0,703,Yes,703
7132,36.0,60984.0,14,RENT,5500.0,DEBTCONSOLIDATION,8.32,16.0,623,Yes,0
7133,46.0,57581.0,21,MORTGAGE,6000.0,PERSONAL,7.14,15.0,574,Yes,0
7134,43.0,57338.0,17,OWN,10000.0,VENTURE,7.88,16.0,638,No,0
7135,37.0,57341.0,14,MORTGAGE,7000.0,PERSONAL,11.01,11.0,662,Yes,0
7136,36.0,57469.0,14,MORTGAGE,5500.0,EDUCATION,7.14,16.0,694,No,0
7137,41.0,57499.0,19,OWN,14000.0,PERSONAL,7.88,12.0,663,Yes,0
7138,37.0,65977.0,17,RENT,5500.0,VENTURE,13.23,12.0,674,No,0
7139,46.0,72993.0,28,RENT,5500.0,PERSONAL,14.22,17.0,563,Yes,0
7140,44.0,76897.0,24,RENT,5500.0,MEDICAL,7.51,13.0,685,No,0
7141,37.0,96958.0,12,RENT,5500.0,EDUCATION,7.88,11.0,595,No,0
7142,38.0,205089.0,15,RENT,5500.0,VENTURE,11.01,13.0,722,Yes,722
7143,39.0,58156.0,19,MORTGAGE,5000.0,DEBTCONSOLIDATION,7.51,14.0,594,Yes,0
7144,36.0,57941.0,12,MORTGAGE,2700.0,DEBTCONSOLIDATION,5.79,14.0,692,No,0
7145,38.0,36991.0,16,RENT,5600.0,EDUCATION,9.99,15.0,637,No,0
7146,38.0,42548.0,15,RENT,5600.0,PERSONAL,11.11,11.0,715,Yes,715
7147,40.0,46535.0,20,RENT,5600.0,MEDICAL,11.58,17.0,659,No,0
7148,46.0,58618.0,24,OWN,27175.0,VENTURE,8.49,13.0,659,Yes,0
7149,37.0,58602.0,15,MORTGAGE,7000.0,HOMEIMPROVEMENT,7.9,15.0,700,No,0
7150,42.0,64285.0,20,RENT,5600.0,EDUCATION,10.99,14.0,711,Yes,711
7151,38.0,58287.0,16,MORTGAGE,7800.0,HOMEIMPROVEMENT,10.65,12.0,539,Yes,0
7152,37.0,58405.0,11,OWN,2500.0,PERSONAL,6.03,11.0,656,No,0
7153,36.0,58585.0,11,MORTGAGE,1500.0,VENTURE,8.9,16.0,635,No,0
7154,38.0,58822.0,19,MORTGAGE,5000.0,HOMEIMPROVEMENT,10.65,16.0,679,No,0
7155,45.0,88565.0,23,RENT,5600.0,EDUCATION,15.27,11.0,584,No,0
7156,43.0,58357.0,22,MORTGAGE,10400.0,VENTURE,5.99,17.0,593,Yes,0
7157,41.0,165430.0,17,RENT,5600.0,VENTURE,8.59,11.0,662,No,0
7158,36.0,49092.0,12,RENT,5700.0,MEDICAL,7.29,13.0,709,No,709
7159,38.0,41579.0,14,RENT,5750.0,MEDICAL,11.01,16.0,647,Yes,0
7160,44.0,58235.0,24,MORTGAGE,5000.0,DEBTCONSOLIDATION,9.99,15.0,498,Yes,0
7161,42.0,102828.0,21,RENT,5750.0,VENTURE,12.99,15.0,540,Yes,0
7162,39.0,58508.0,16,MORTGAGE,3000.0,DEBTCONSOLIDATION,5.42,11.0,636,Yes,0
7163,48.0,47999.0,28,RENT,5800.0,MEDICAL,14.54,15.0,606,No,0
7164,38.0,58481.0,13,MORTGAGE,18000.0,PERSONAL,8.49,11.0,633,Yes,0
7165,38.0,58336.0,14,MORTGAGE,6200.0,PERSONAL,7.29,14.0,499,Yes,0
7166,39.0,29282.0,18,RENT,5850.0,PERSONAL,15.2,12.0,684,No,0
7167,48.0,53545.0,26,RENT,5850.0,MEDICAL,9.99,13.0,741,Yes,741
7168,43.0,58418.0,18,MORTGAGE,4500.0,VENTURE,5.42,14.0,710,No,710
7169,44.0,143826.0,20,RENT,5900.0,DEBTCONSOLIDATION,6.17,14.0,650,Yes,0
7170,38.0,43390.0,17,RENT,5950.0,PERSONAL,11.72,11.0,657,No,0
7171,42.0,58655.0,18,MORTGAGE,6500.0,MEDICAL,7.29,11.0,570,Yes,0
7172,37.0,51327.0,17,MORTGAGE,3000.0,DEBTCONSOLIDATION,6.17,13.0,615,No,0
7173,38.0,23334.0,13,RENT,6000.0,VENTURE,15.99,12.0,637,No,0
7174,39.0,25764.0,16,RENT,6000.0,MEDICAL,15.27,13.0,639,Yes,0
7175,40.0,58253.0,17,MORTGAGE,8000.0,HOMEIMPROVEMENT,15.95,11.0,671,Yes,0
7176,37.0,58599.0,14,MORTGAGE,3500.0,HOMEIMPROVEMENT,7.88,15.0,660,No,0
7177,42.0,58494.0,17,OWN,3500.0,PERSONAL,14.35,12.0,642,Yes,0
7178,38.0,58585.0,15,OWN,7600.0,VENTURE,7.88,11.0,652,No,0
7179,37.0,29670.0,16,RENT,6000.0,MEDICAL,11.49,17.0,616,No,0
7180,47.0,58753.0,20,MORTGAGE,16750.0,MEDICAL,10.62,12.0,582,Yes,0
7181,38.0,31192.0,16,RENT,6000.0,DEBTCONSOLIDATION,14.59,12.0,631,No,0
7182,48.0,51736.0,25,MORTGAGE,14400.0,DEBTCONSOLIDATION,12.87,17.0,724,No,724
7183,37.0,33537.0,12,RENT,6000.0,VENTURE,10.37,12.0,637,Yes,0
7184,44.0,58638.0,21,MORTGAGE,17500.0,DEBTCONSOLIDATION,12.18,15.0,605,Yes,0
7185,45.0,58506.0,20,MORTGAGE,8000.0,HOMEIMPROVEMENT,9.63,13.0,679,Yes,0
7186,36.0,35318.0,15,RENT,6000.0,EDUCATION,15.96,12.0,606,No,0
7187,36.0,58794.0,16,MORTGAGE,10000.0,VENTURE,9.63,14.0,644,Yes,0
7188,48.0,36950.0,21,RENT,6000.0,DEBTCONSOLIDATION,12.42,12.0,656,No,0
7189,46.0,58915.0,24,MORTGAGE,9600.0,PERSONAL,11.01,17.0,647,Yes,0
7190,39.0,36814.0,14,RENT,6000.0,PERSONAL,10.75,14.0,509,No,0
7191,41.0,37824.0,20,RENT,6000.0,MEDICAL,10.59,13.0,623,Yes,0
7192,39.0,58971.0,20,OWN,4800.0,VENTURE,13.98,13.0,716,Yes,716
7193,37.0,59355.0,13,MORTGAGE,6000.0,PERSONAL,7.88,12.0,702,Yes,702
7194,38.0,39470.0,12,RENT,6000.0,DEBTCONSOLIDATION,11.36,16.0,651,No,0
7195,43.0,40771.0,18,RENT,6000.0,DEBTCONSOLIDATION,15.62,14.0,637,No,0
7196,39.0,59458.0,18,MORTGAGE,15000.0,PERSONAL,9.88,15.0,581,Yes,0
7197,38.0,41947.0,17,RENT,6000.0,MEDICAL,7.9,11.0,590,No,0
7198,36.0,41906.0,13,RENT,6000.0,PERSONAL,13.57,16.0,566,No,0
7199,38.0,59646.0,13,MORTGAGE,5000.0,EDUCATION,7.29,12.0,649,No,0
7200,38.0,59952.0,19,MORTGAGE,7250.0,DEBTCONSOLIDATION,11.99,11.0,671,No,0
7201,36.0,59613.0,12,OWN,4200.0,PERSONAL,16.02,13.0,640,Yes,0
7202,39.0,44093.0,17,RENT,6000.0,MEDICAL,8.49,14.0,653,No,0
7203,50.0,44399.0,29,RENT,6000.0,MEDICAL,11.01,11.0,712,No,712
7204,45.0,44269.0,21,RENT,6000.0,EDUCATION,11.01,12.0,616,Yes,0
7205,44.0,59881.0,24,MORTGAGE,3600.0,VENTURE,16.29,14.0,675,Yes,0
7206,38.0,45058.0,14,RENT,6000.0,PERSONAL,12.87,17.0,625,Yes,0
7207,36.0,44729.0,16,RENT,6000.0,VENTURE,14.79,14.0,646,Yes,0
7208,37.0,47235.0,15,RENT,6000.0,PERSONAL,15.33,16.0,659,Yes,0
7209,44.0,60734.0,21,MORTGAGE,4000.0,HOMEIMPROVEMENT,10.62,14.0,590,No,0
7210,43.0,60747.0,18,MORTGAGE,16000.0,PERSONAL,13.49,13.0,706,Yes,706
7211,36.0,46623.0,12,RENT,6000.0,EDUCATION,12.61,17.0,655,No,0
7212,40.0,39663.0,15,RENT,6000.0,HOMEIMPROVEMENT,7.9,15.0,570,No,0
7213,42.0,41293.0,15,RENT,6000.0,PERSONAL,16.29,15.0,655,No,0
7214,38.0,60810.0,16,MORTGAGE,12000.0,EDUCATION,13.3,11.0,657,Yes,0
7215,44.0,48472.0,20,RENT,6000.0,PERSONAL,11.01,15.0,567,Yes,0
7216,36.0,60816.0,18,MORTGAGE,2800.0,VENTURE,11.01,17.0,719,No,719
7217,36.0,60941.0,10,MORTGAGE,8400.0,HOMEIMPROVEMENT,13.61,12.0,679,No,0
7218,39.0,49077.0,15,RENT,6000.0,PERSONAL,14.54,16.0,622,Yes,0
7219,36.0,60964.0,14,MORTGAGE,5000.0,PERSONAL,7.51,16.0,487,Yes,0
7220,38.0,50551.0,13,RENT,6000.0,DEBTCONSOLIDATION,13.61,17.0,699,Yes,0
7221,44.0,52771.0,23,RENT,6000.0,MEDICAL,5.42,11.0,669,No,0
7222,42.0,53351.0,20,RENT,6000.0,DEBTCONSOLIDATION,9.63,14.0,705,No,705
7223,39.0,54384.0,17,RENT,6000.0,MEDICAL,7.88,17.0,634,No,0
7224,37.0,54955.0,13,RENT,6000.0,PERSONAL,11.01,16.0,663,No,0
7225,38.0,54735.0,16,RENT,6000.0,EDUCATION,11.71,12.0,655,Yes,0
7226,36.0,55183.0,15,RENT,6000.0,DEBTCONSOLIDATION,9.99,12.0,683,No,0
7227,37.0,55094.0,10,RENT,6000.0,EDUCATION,12.61,17.0,694,Yes,0
7228,36.0,60879.0,18,MORTGAGE,10000.0,DEBTCONSOLIDATION,6.03,13.0,627,No,0
7229,37.0,56307.0,15,RENT,6000.0,EDUCATION,11.49,13.0,652,Yes,0
7230,37.0,60961.0,16,MORTGAGE,8400.0,VENTURE,6.03,11.0,590,Yes,0
7231,37.0,60868.0,13,MORTGAGE,3200.0,PERSONAL,7.51,17.0,556,Yes,0
7232,39.0,56482.0,16,RENT,6000.0,PERSONAL,6.99,11.0,613,Yes,0
7233,38.0,58498.0,12,RENT,6000.0,MEDICAL,11.01,17.0,673,Yes,0
7234,43.0,58656.0,23,RENT,6000.0,PERSONAL,11.14,13.0,681,Yes,0
7235,39.0,51260.0,18,RENT,6000.0,PERSONAL,17.58,12.0,550,No,0
7236,40.0,58729.0,14,RENT,6000.0,VENTURE,10.08,13.0,594,Yes,0
7237,44.0,61058.0,26,MORTGAGE,6000.0,DEBTCONSOLIDATION,11.99,17.0,629,Yes,0
7238,36.0,53482.0,16,RENT,6000.0,HOMEIMPROVEMENT,11.01,12.0,597,No,0
7239,37.0,61124.0,11,MORTGAGE,2325.0,EDUCATION,6.99,17.0,677,Yes,0
7240,41.0,61078.0,17,RENT,6000.0,PERSONAL,8.88,17.0,675,Yes,0
7241,40.0,53704.0,15,RENT,6000.0,PERSONAL,11.01,12.0,702,No,702
7242,37.0,53912.0,14,RENT,6000.0,VENTURE,17.04,17.0,679,No,0
7243,41.0,60938.0,17,RENT,6000.0,MEDICAL,10.71,11.0,669,No,0
7244,38.0,61107.0,15,RENT,6000.0,HOMEIMPROVEMENT,13.79,11.0,675,No,0
7245,43.0,60928.0,20,MORTGAGE,5000.0,HOMEIMPROVEMENT,10.0,16.0,715,Yes,715
7246,47.0,63096.0,25,RENT,6000.0,PERSONAL,10.99,16.0,685,Yes,0
7247,36.0,63226.0,13,RENT,6000.0,EDUCATION,9.99,12.0,630,Yes,0
7248,43.0,60949.0,20,MORTGAGE,5000.0,DEBTCONSOLIDATION,9.63,16.0,695,Yes,0
7249,38.0,61311.0,17,MORTGAGE,10000.0,PERSONAL,11.01,15.0,714,No,714
7250,45.0,66581.0,23,RENT,6000.0,MEDICAL,11.01,17.0,621,Yes,0
7251,39.0,66820.0,19,RENT,6000.0,EDUCATION,12.99,13.0,573,Yes,0
7252,47.0,60950.0,23,MORTGAGE,4000.0,EDUCATION,11.01,12.0,668,Yes,0
7253,48.0,59975.0,25,RENT,6000.0,EDUCATION,14.09,11.0,565,No,0
7254,43.0,60835.0,24,OWN,5000.0,MEDICAL,13.35,12.0,672,No,0
7255,43.0,60784.0,20,MORTGAGE,11500.0,MEDICAL,11.01,12.0,625,Yes,0
7256,40.0,67198.0,15,RENT,6000.0,VENTURE,6.99,13.0,636,Yes,0
7257,44.0,53796.0,20,MORTGAGE,5000.0,VENTURE,12.23,12.0,569,No,0
7258,37.0,61151.0,13,MORTGAGE,20000.0,EDUCATION,6.17,12.0,704,No,704
7259,43.0,69169.0,21,RENT,6000.0,EDUCATION,10.75,13.0,697,No,0
7260,42.0,70521.0,21,RENT,6000.0,VENTURE,8.59,12.0,680,Yes,0
7261,48.0,71782.0,25,RENT,6000.0,EDUCATION,5.99,12.0,604,No,0
7262,39.0,73264.0,16,RENT,6000.0,DEBTCONSOLIDATION,15.27,14.0,596,Yes,0
7263,38.0,73270.0,18,RENT,6000.0,HOMEIMPROVEMENT,13.57,15.0,705,No,705
7264,42.0,60566.0,18,MORTGAGE,7000.0,EDUCATION,11.01,12.0,698,Yes,0
7265,38.0,61077.0,14,MORTGAGE,10000.0,VENTURE,11.86,11.0,569,Yes,0
7266,37.0,60942.0,15,MORTGAGE,16000.0,MEDICAL,11.01,12.0,623,Yes,0
7267,41.0,60791.0,17,MORTGAGE,5000.0,DEBTCONSOLIDATION,6.76,12.0,678,No,0
7268,36.0,38367.0,14,RENT,7100.0,VENTURE,8.9,12.0,679,Yes,0
7269,36.0,60990.0,14,MORTGAGE,16000.0,MEDICAL,13.48,15.0,703,Yes,703
7270,36.0,60916.0,12,MORTGAGE,12250.0,PERSONAL,12.73,12.0,622,Yes,0
7271,37.0,29957.0,15,RENT,7000.0,MEDICAL,6.92,14.0,634,Yes,0
7272,40.0,60848.0,17,MORTGAGE,6000.0,HOMEIMPROVEMENT,14.96,16.0,688,Yes,0
7273,46.0,79339.0,23,RENT,6000.0,EDUCATION,12.69,13.0,690,No,0
7274,40.0,61239.0,18,MORTGAGE,12000.0,EDUCATION,11.01,15.0,638,Yes,0
7275,49.0,60930.0,28,MORTGAGE,15850.0,PERSONAL,14.26,17.0,689,Yes,0
7276,38.0,61204.0,12,MORTGAGE,3000.0,PERSONAL,15.05,12.0,626,Yes,0
7277,48.0,80110.0,27,RENT,6000.0,VENTURE,11.89,11.0,579,Yes,0
7278,42.0,80828.0,22,RENT,6000.0,VENTURE,10.25,15.0,652,Yes,0
7279,44.0,61236.0,17,OWN,8500.0,VENTURE,11.01,15.0,605,No,0
7280,38.0,61250.0,15,MORTGAGE,3000.0,DEBTCONSOLIDATION,11.01,17.0,653,Yes,0
7281,36.0,60930.0,16,OWN,15200.0,HOMEIMPROVEMENT,12.21,15.0,578,No,0
7282,39.0,61107.0,19,MORTGAGE,8000.0,EDUCATION,7.68,14.0,674,Yes,0
7283,47.0,84913.0,24,RENT,6000.0,HOMEIMPROVEMENT,8.49,12.0,688,No,0
7284,44.0,85268.0,19,RENT,6000.0,DEBTCONSOLIDATION,5.79,16.0,537,Yes,0
7285,36.0,84979.0,15,RENT,6000.0,VENTURE,7.29,15.0,574,Yes,0
7286,39.0,85179.0,18,RENT,6000.0,HOMEIMPROVEMENT,8.94,12.0,643,Yes,0
7287,40.0,86996.0,20,RENT,6000.0,EDUCATION,9.63,17.0,652,Yes,0
7288,49.0,60899.0,25,MORTGAGE,10000.0,DEBTCONSOLIDATION,9.07,15.0,684,Yes,0
7289,43.0,87348.0,23,RENT,6000.0,MEDICAL,12.42,17.0,624,Yes,0
7290,50.0,68295.0,25,RENT,6000.0,MEDICAL,16.49,14.0,682,No,0
7291,43.0,88142.0,19,RENT,6000.0,PERSONAL,11.01,15.0,652,Yes,0
7292,36.0,53701.0,12,MORTGAGE,9400.0,DEBTCONSOLIDATION,13.3,15.0,629,No,0
7293,37.0,90505.0,14,RENT,6000.0,VENTURE,14.26,17.0,685,No,0
7294,36.0,53700.0,14,MORTGAGE,1800.0,MEDICAL,10.0,13.0,515,No,0
7295,39.0,73677.0,15,RENT,6000.0,MEDICAL,15.33,15.0,704,No,704
7296,38.0,94916.0,17,RENT,6000.0,MEDICAL,6.99,15.0,687,Yes,0
7297,41.0,94366.0,15,RENT,6000.0,HOMEIMPROVEMENT,9.63,11.0,688,No,0
7298,37.0,95790.0,14,RENT,6000.0,DEBTCONSOLIDATION,10.0,16.0,654,Yes,0
7299,47.0,60828.0,24,MORTGAGE,8000.0,VENTURE,11.01,15.0,651,No,0
7300,46.0,60995.0,23,MORTGAGE,3000.0,PERSONAL,8.59,13.0,652,Yes,0
7301,38.0,96979.0,16,RENT,6000.0,PERSONAL,11.83,12.0,674,No,0
7302,40.0,96930.0,20,RENT,6000.0,MEDICAL,8.94,11.0,625,Yes,0
7303,36.0,96917.0,18,RENT,6000.0,HOMEIMPROVEMENT,12.87,16.0,469,Yes,0
7304,48.0,60864.0,25,OTHER,10400.0,MEDICAL,11.58,11.0,609,Yes,0
7305,39.0,104078.0,15,RENT,6000.0,HOMEIMPROVEMENT,14.84,13.0,621,Yes,0
7306,37.0,104324.0,15,RENT,6000.0,PERSONAL,7.14,17.0,586,Yes,0
7307,36.0,61463.0,13,MORTGAGE,12700.0,HOMEIMPROVEMENT,7.29,13.0,653,Yes,0
7308,46.0,127099.0,20,RENT,6000.0,EDUCATION,7.14,16.0,617,Yes,0
7309,42.0,132624.0,22,RENT,6000.0,MEDICAL,8.9,14.0,701,Yes,701
7310,42.0,192974.0,21,RENT,6000.0,VENTURE,10.65,17.0,680,Yes,0
7311,41.0,61975.0,15,MORTGAGE,6000.0,PERSONAL,10.99,17.0,708,No,708
7312,42.0,62219.0,14,OWN,18000.0,VENTURE,9.91,13.0,553,Yes,0
7313,42.0,62353.0,21,MORTGAGE,20000.0,DEBTCONSOLIDATION,8.49,14.0,671,No,0
7314,36.0,31330.0,14,RENT,6200.0,PERSONAL,9.91,14.0,652,No,0
7315,40.0,53863.0,18,RENT,6200.0,MEDICAL,5.42,17.0,722,No,722
7316,43.0,41227.0,19,RENT,6225.0,PERSONAL,14.79,17.0,712,No,712
7317,45.0,62034.0,23,MORTGAGE,7000.0,MEDICAL,7.88,12.0,662,Yes,0
7318,37.0,66872.0,12,RENT,7000.0,HOMEIMPROVEMENT,16.32,13.0,605,No,0
7319,41.0,62230.0,17,MORTGAGE,14500.0,HOMEIMPROVEMENT,8.94,11.0,637,Yes,0
7320,36.0,62078.0,15,MORTGAGE,1000.0,VENTURE,11.83,12.0,720,Yes,720
7321,37.0,61977.0,13,MORTGAGE,12800.0,DEBTCONSOLIDATION,12.84,12.0,694,No,0
7322,44.0,70337.0,26,RENT,7000.0,PERSONAL,7.4,11.0,664,Yes,0
7323,48.0,70291.0,27,RENT,7000.0,HOMEIMPROVEMENT,13.61,12.0,675,No,0
7324,36.0,62121.0,11,MORTGAGE,4775.0,HOMEIMPROVEMENT,11.14,14.0,640,No,0
7325,39.0,62092.0,10,OWN,12000.0,EDUCATION,11.34,17.0,618,Yes,0
7326,36.0,63828.0,16,RENT,7000.0,DEBTCONSOLIDATION,13.85,11.0,710,No,710
7327,45.0,65917.0,19,RENT,7000.0,EDUCATION,11.01,16.0,671,No,0
7328,36.0,72756.0,14,RENT,7000.0,HOMEIMPROVEMENT,7.88,12.0,588,No,0
7329,42.0,67480.0,21,RENT,7000.0,DEBTCONSOLIDATION,15.95,15.0,684,No,0
7330,50.0,62984.0,28,OWN,10875.0,VENTURE,7.49,14.0,663,Yes,0
7331,38.0,75526.0,15,RENT,7000.0,EDUCATION,10.62,14.0,704,No,704
7332,46.0,62512.0,25,MORTGAGE,10000.0,PERSONAL,7.51,17.0,628,Yes,0
7333,38.0,79187.0,14,RENT,7000.0,VENTURE,7.88,11.0,728,Yes,728
7334,36.0,63467.0,16,OWN,8500.0,HOMEIMPROVEMENT,11.49,16.0,658,Yes,0
7335,40.0,82360.0,16,RENT,7000.0,HOMEIMPROVEMENT,7.51,11.0,684,Yes,0
7336,39.0,89330.0,15,RENT,7000.0,MEDICAL,9.91,13.0,722,Yes,722
7337,36.0,63321.0,12,MORTGAGE,7500.0,MEDICAL,10.51,15.0,607,Yes,0
7338,37.0,63561.0,12,MORTGAGE,15000.0,VENTURE,11.01,14.0,647,Yes,0
7339,36.0,90717.0,11,RENT,7000.0,MEDICAL,6.92,17.0,617,Yes,0
7340,36.0,55988.0,15,MORTGAGE,5350.0,PERSONAL,15.27,12.0,591,No,0
7341,36.0,63560.0,15,MORTGAGE,8325.0,VENTURE,11.01,17.0,656,Yes,0
7342,38.0,63377.0,16,MORTGAGE,5000.0,DEBTCONSOLIDATION,10.99,15.0,679,Yes,0
7343,42.0,118105.0,15,RENT,7000.0,EDUCATION,8.9,13.0,658,Yes,0
7344,47.0,63332.0,23,MORTGAGE,12000.0,MEDICAL,7.29,16.0,654,Yes,0
7345,37.0,63424.0,16,MORTGAGE,6000.0,DEBTCONSOLIDATION,8.88,16.0,645,Yes,0
7346,43.0,211614.0,19,RENT,7000.0,HOMEIMPROVEMENT,5.99,12.0,688,Yes,0
7347,37.0,18468.0,18,RENT,6950.0,PERSONAL,7.66,13.0,640,No,0
7348,38.0,63282.0,11,OWN,8000.0,PERSONAL,15.21,13.0,570,No,0
7349,36.0,62927.0,15,MORTGAGE,2275.0,DEBTCONSOLIDATION,11.86,12.0,718,Yes,718
7350,40.0,63149.0,20,MORTGAGE,15250.0,DEBTCONSOLIDATION,11.86,12.0,668,Yes,0
7351,36.0,63397.0,13,MORTGAGE,8000.0,HOMEIMPROVEMENT,7.51,14.0,683,Yes,0
7352,37.0,27006.0,9,RENT,6500.0,MEDICAL,8.49,12.0,556,No,0
7353,38.0,63430.0,16,MORTGAGE,15250.0,DEBTCONSOLIDATION,7.88,15.0,581,Yes,0
7354,36.0,29778.0,14,RENT,6500.0,MEDICAL,7.29,13.0,576,Yes,0
7355,41.0,35383.0,23,RENT,6500.0,MEDICAL,12.69,15.0,673,No,0
7356,37.0,36783.0,12,RENT,6500.0,MEDICAL,10.37,11.0,667,No,0
7357,41.0,37774.0,23,RENT,6500.0,DEBTCONSOLIDATION,10.65,12.0,569,No,0
7358,47.0,38638.0,23,RENT,6500.0,VENTURE,9.32,16.0,672,No,0
7359,45.0,63731.0,25,MORTGAGE,14000.0,EDUCATION,11.01,16.0,648,Yes,0
7360,44.0,63317.0,21,MORTGAGE,6000.0,VENTURE,8.59,11.0,686,No,0
7361,36.0,63391.0,12,OWN,3000.0,VENTURE,9.63,15.0,657,No,0
7362,41.0,63791.0,20,MORTGAGE,1500.0,DEBTCONSOLIDATION,8.32,14.0,587,Yes,0
7363,47.0,63591.0,25,OWN,5000.0,VENTURE,10.08,12.0,648,Yes,0
7364,39.0,51669.0,15,RENT,6500.0,MEDICAL,13.99,14.0,686,No,0
7365,37.0,63409.0,11,MORTGAGE,10000.0,HOMEIMPROVEMENT,5.79,17.0,704,No,704
7366,40.0,63623.0,17,MORTGAGE,4000.0,PERSONAL,11.01,15.0,655,No,0
7367,36.0,60571.0,12,RENT,6500.0,EDUCATION,11.01,15.0,657,Yes,0
7368,42.0,63584.0,19,MORTGAGE,21000.0,HOMEIMPROVEMENT,10.38,13.0,674,No,0
7369,39.0,63486.0,17,RENT,6500.0,PERSONAL,11.01,12.0,650,Yes,0
7370,39.0,64554.0,14,RENT,6500.0,EDUCATION,7.29,17.0,647,Yes,0
7371,38.0,67177.0,16,RENT,6500.0,EDUCATION,11.03,12.0,618,Yes,0
7372,40.0,73127.0,16,RENT,6500.0,DEBTCONSOLIDATION,11.11,13.0,680,No,0
7373,36.0,64193.0,17,MORTGAGE,15000.0,HOMEIMPROVEMENT,13.16,13.0,521,Yes,0
7374,40.0,90824.0,18,RENT,6500.0,EDUCATION,7.9,15.0,703,No,703
7375,36.0,56934.0,12,MORTGAGE,2800.0,MEDICAL,7.51,12.0,636,No,0
7376,46.0,64475.0,21,MORTGAGE,2800.0,MEDICAL,6.76,14.0,700,No,0
7377,37.0,32298.0,13,RENT,6600.0,VENTURE,11.49,15.0,616,Yes,0
7378,41.0,65041.0,21,MORTGAGE,11000.0,VENTURE,11.01,14.0,574,Yes,0
7379,40.0,64092.0,18,RENT,6600.0,PERSONAL,14.54,13.0,654,No,0
7380,37.0,108487.0,15,RENT,6600.0,MEDICAL,12.53,12.0,700,Yes,0
7381,45.0,24085.0,22,RENT,6700.0,HOMEIMPROVEMENT,12.92,15.0,735,No,735
7382,36.0,64706.0,13,MORTGAGE,2200.0,DEBTCONSOLIDATION,14.35,17.0,650,Yes,0
7383,37.0,35610.0,10,RENT,6725.0,PERSONAL,8.88,16.0,680,Yes,0
7384,39.0,61889.0,17,RENT,6725.0,EDUCATION,16.45,11.0,606,Yes,0
7385,37.0,46107.0,13,RENT,6750.0,PERSONAL,6.91,16.0,619,Yes,0
7386,40.0,64486.0,22,MORTGAGE,3000.0,MEDICAL,10.62,17.0,661,No,0
7387,36.0,57494.0,13,MORTGAGE,4900.0,MEDICAL,14.11,11.0,585,No,0
7388,42.0,26011.0,20,RENT,6400.0,VENTURE,11.14,14.0,614,Yes,0
7389,37.0,65010.0,13,MORTGAGE,4000.0,DEBTCONSOLIDATION,5.42,11.0,545,No,0
7390,38.0,65408.0,15,MORTGAGE,4000.0,VENTURE,13.43,12.0,600,Yes,0
7391,39.0,38515.0,16,RENT,6400.0,PERSONAL,11.49,15.0,575,Yes,0
7392,47.0,65383.0,27,MORTGAGE,15000.0,VENTURE,11.71,17.0,646,Yes,0
7393,43.0,39282.0,22,RENT,6400.0,VENTURE,7.49,16.0,682,Yes,0
7394,43.0,43140.0,22,RENT,6400.0,PERSONAL,8.9,14.0,650,No,0
7395,39.0,65727.0,15,MORTGAGE,9000.0,HOMEIMPROVEMENT,11.71,12.0,643,No,0
7396,40.0,65711.0,15,MORTGAGE,6000.0,HOMEIMPROVEMENT,13.49,11.0,680,Yes,0
7397,37.0,62334.0,15,RENT,6400.0,VENTURE,16.89,13.0,622,Yes,0
7398,48.0,65937.0,26,MORTGAGE,2000.0,HOMEIMPROVEMENT,5.99,16.0,666,Yes,0
7399,37.0,73020.0,15,RENT,6400.0,PERSONAL,9.64,12.0,679,Yes,0
7400,39.0,92835.0,14,RENT,6400.0,VENTURE,11.01,15.0,615,Yes,0
7401,43.0,97077.0,23,RENT,6400.0,HOMEIMPROVEMENT,11.71,11.0,551,Yes,0
7402,44.0,96766.0,21,RENT,6400.0,PERSONAL,13.16,11.0,688,Yes,0
7403,40.0,65596.0,13,MORTGAGE,5000.0,PERSONAL,5.42,13.0,655,No,0
7404,41.0,65373.0,18,MORTGAGE,6000.0,DEBTCONSOLIDATION,6.17,14.0,702,No,702
7405,36.0,135759.0,16,RENT,6400.0,DEBTCONSOLIDATION,9.99,16.0,631,Yes,0
7406,38.0,58822.0,19,MORTGAGE,9000.0,MEDICAL,15.21,15.0,626,No,0
7407,39.0,65825.0,16,MORTGAGE,25000.0,PERSONAL,11.49,16.0,618,Yes,0
